sentenceID,sentenceType,homophoneID,version,sentence,m1,m2,funniness,punType,entropy,m1KL,m1Focus,m2Focus,m1indices,m2indices,length,avePosition1,avePosition2
1,pun,1,a,Atheism is a non #prophet organization.,prophet,profit,1.591758031,identical,0.616718652,1.119920109,prophet;atheism;organization,non;organization,4;0;5,3;5,6,3.0,4.0
2,pun,2,a,I get my large circumference from too much #pi.,pi,pie,1.760403626,identical,0.001506356,0.725754515,pi;circumference,circumference;large,8;4,4;3,9,6.0,3.5
3,pun,3,a,Bakers trade bread recipes on a #knead to know basis.,knead,need,0.85181353,identical,0.337971491,1.873743985,knead;bakers;bread;recipes,basis;trade,6;0;2;3,9;1,10,2.75,5.0
4,pun,4,a,The indecisive rower could not choose either #oar.,oar,or,1.265360036,identical,0.00017404,2.801674254,oar;rower,choose;either;indecisive;not,7;2,5;6;1;4,8,4.5,4.0
5,pun,5,a,It was an emotional wedding. Even the cake was in #tiers.,tiers,tears,1.540639932,identical,0.032162791,1.417153634,tiers;cake;wedding,emotional;wedding,10;7;4,3;4,11,7.0,3.5
6,pun,6,a,A new country decided to conduct a flag #poll.,poll,pole,-0.102654508,identical,0.003726678,1.148991389,poll;conduct;decided;flag,flag,8;5;3;7,7,9,5.75,7.0
7,pun,7,a,At some executive meetings there is a chairman of the #bored.,bored,board,1.300298429,identical,0.612586713,1.630418029,bored;meetings,chairman;executive;meetings,10;3,7;2;3,11,6.5,4.0
8,pun,8,a,Did you know that donuts were first made in #Greece?,greece,grease,0.331241123,identical,1.09E-07,0.858578093,greece,donuts,9,4,10,9.0,4.0
9,pun,9,a,I always prayed before my trigonometry tests. I was hoping for a #sine from above.,sine,sign,1.764998789,identical,0.096802699,0.961862675,sine;trigonometry,prayed;trigonometry,12;5,2;5,15,8.5,3.5
10,pun,10,a,It was not school john disliked. It was just the #principal of it.,principal,principle,1.136783788,identical,0.000881847,0.82873553,principal;just;school,disliked;just;school,10;8;3,5;8;3,13,7.0,5.33333333333
11,pun,11,a,Some music stores are in a #CD part of town.,cd,seedy,0.81244382,identical,2.48E-08,1.313802308,cd;music;stores,,6;1;2,-1,10,3.0,5.33333333333
12,pun,12,a,The magician got so mad he pulled his #hare out.,hare,hair,1.713986516,identical,0.147522507,1.358221734,hare;magician,pulled,8;1,6,10,4.5,6.0
13,pun,13,a,The young pine sapling was admonished by his father. Apparently he had been #knotty.,knotty,naughty,1.08482261,identical,0.503261117,1.012278978,knotty;sapling,admonished;young,13;3,5;1,14,8.0,3.0
14,pun,14,a,To learn rope tricks you have to be #taut.,taut,taught,1.139856033,identical,0.193825182,1.505260947,taut;rope,learn;tricks,8;2,1;3,9,5.0,2.0
15,pun,15,a,I dropped out of communism class because of lousy #Marx.,marx,marks,1.447345186,identical,0.00064672,1.193861109,marx;class;communism,class,9;5;4,5,10,6.0,5.0
16,pun,16,a,A boy who instinctively waves at people has a natural #hi.,hi,high,0.964876241,identical,0.202374832,0.85336819,hi;people,waves,10;6,4,11,8.0,4.0
17,pun,17,a,A teacher having a tough time longs for the end of the school #daze.,daze,days,0.239893192,identical,0.506137575,1.46835302,daze,school;time;tough,13,12;5;4,14,13.0,7.0
18,pun,18,a,Authors in jail have their #prose and cons.,prose,pros,1.674937023,identical,0.020799649,1.322315967,prose;authors,authors;cons,5;0,0;7,8,2.5,3.5
19,pun,19,a,Do not expect to eat something fancy when you are flying because it is #plane food.,plane,plain,0.223710426,identical,0.443844415,1.268807869,plane;flying;food,fancy;food,14;10;15,6;15,16,13.0,10.5
20,pun,20,a,I saw a beaver movie last night. It was the best #dam movie I have ever seen.,dam,damn,2.004747311,identical,0.000570441,0.969818331,dam;beaver,beaver,11;3,3,17,7.0,3.0
21,pun,21,a,My computer is so slow it #hertz.,hertz,hurts,1.166764828,identical,0.001587939,0.989656542,hertz;computer,,6;1,-1,7,3.5,3.0
22,pun,22,a,The actors had one great movie after another. They were on a #role.,role,roll,1.524418334,identical,1.19E-06,1.131011932,role;actors;movie,movie,12;1;5,5,13,6.0,5.0
23,pun,23,a,The man put his name on the neck of his shirt so he would have #collar ID.,collar,caller,2.013055364,identical,0.639606129,1.811854568,collar;id;man;neck;shirt,id;man;name,15;16;1;7;10,16;1;4,17,9.8,7.0
24,pun,24,a,Thieves have muscles of #steal.,steal,steel,1.714323731,identical,0.09359546,1.178576008,steal;thieves,,4;0,-1,5,2.0,7.0
25,pun,25,a,When an actress saw her first strands of gray hair she thought she would #dye.,dye,die,1.759157449,identical,0.332494518,1.421845738,dye;gray;hair;strands,gray,14;8;9;6,8,15,9.25,8.0
26,pun,26,a,A cardboard belt would be a #waist of paper.,waist,waste,1.057899945,identical,0.366910163,1.533479616,waist;belt,cardboard;paper,6;2,1;8,9,4.0,4.5
27,pun,27,a,Being able to fit size fourteen shoes is quite a #feet.,feet,feat,0.547984458,identical,0.000134488,1.587751506,feet;fourteen;shoes;size,able,10;5;6;4,1,11,6.25,1.0
28,pun,28,a,The mime wanted to say something but he was not #aloud.,aloud,allowed,1.73956032,identical,0.032749793,1.018078507,aloud;say,wanted,10;4,2,11,7.0,2.0
29,pun,29,a,Those who carry too many buckets start feeling #pail.,pail,pale,1.229952522,identical,4.79E-05,1.052596788,pail;buckets;carry,,8;5;2,-1,9,5.0,2.0
30,pun,30,a,A man's home is his castle in a #manor of speaking.,manor,manner,1.138186618,identical,0.250279461,1.364161473,manor;castle;home,castle;speaking,8;5;2,5;10,11,5.0,7.5
31,pun,31,a,An online poker tournament ended suddenly when the computer #cached in its chips.,cached,cashed,1.192216902,identical,7.20E-06,1.972566341,cached;computer;online,chips;poker;tournament,9;8;1,12;2;3,13,6.0,5.66666666667
32,pun,32,a,Britain is a wet place since the queen has had a long #reign.,reign,rain,1.427947533,identical,4.60E-06,2.417539344,reign;britain;long;queen,britain;wet,12;0;11;7,0;3,13,7.5,1.5
33,pun,33,a,Herb gardeners who work extra get #thyme and a half.,thyme,time,2.054690738,identical,0.525478566,2.018402656,thyme;gardeners;herb,extra;work,6;1;0,4;3,10,2.33333333333,3.5
34,pun,34,a,If you say you have bad skin I would say that was a #pore excuse.,pore,poor,1.372848228,identical,0.010891636,1.401588314,pore;skin,bad;excuse,13;6,5;14,15,9.5,9.5
35,pun,35,a,People who like gold paint have a #gilt complex.,gilt,guilt,0.397982984,identical,0.377660188,0.995979872,gilt;gold,complex;people,7;3,8;0,9,5.0,4.0
36,pun,36,a,To #heir is human.,heir,err,0.300391981,identical,0.129546402,0.694318645,heir;human,human,1;3,3,4,2.0,3.0
37,pun,37,a,When their boy was little they only got rest after #son down.,son,sun,1.512159044,identical,0.000136628,1.286556574,son;boy;only,,10;2;6,-1,12,6.0,3.0
38,pun,38,a,Novice pirates make terrible singers because they cannot hit the high #C's.,c's,seas,1.463607939,identical,0.338632716,1.800716847,c's,high;pirates;terrible,11,10;1;3,12,11.0,4.66666666667
39,pun,39,a,An electrician is a bright spark who knows what's #watt.,watt,what,1.647324284,identical,0.452555502,2.680423868,watt;bright;electrician;spark,knows;what's,9;4;1;5,7;8,10,4.75,7.5
40,pun,40,a,When the mayor wanted to slash the budget he turned to a fund #razor.,razor,raiser,1.402262509,identical,0.30430949,1.52622293,razor;slash,fund,13;5,12,14,9.0,12.0
41,pun,41,a,Boyscouts know which ropes to tie and what #knot.  ,knot,not,0.789597892,identical,0.011626049,2.367213001,knot;boyscouts;ropes;tie,,8;0;3;5,-1,9,4.0,12.0
42,pun,42,a,If you could ask someone anything about trees what #wood you ask?,wood,would,0.601320326,identical,8.58E-05,1.580013176,wood;trees,ask;ask,9;7,3;3,12,8.0,3.0
43,pun,43,a,The person that Colby Jack and Cheddar Jr. were most afraid of in school was the cheese #grader.,grader,grater,1.869881304,identical,0.514485536,2.104677034,grader;cheese;person;school,cheddar;cheese;colby,17;16;1;13,6;16;3,18,11.75,8.33333333333
44,pun,44,a,I'm blind so #eye can't see.,eye,i,0.801384986,identical,0.365828453,1.656470068,eye;blind;see,,3;1;5,-1,6,3.0,8.33333333333
45,pun,45,a,We didn't know whether to keep our biology program or #cell it.,cell,sell,0.949719411,identical,7.71E-05,1.349812563,cell;biology,keep;program,10;7,5;8,12,8.5,6.5
46,pun,46,a,It will cost you more than a #scent to get rid of that smell.,scent,cent,1.024070666,identical,0.000189526,2.138873743,scent;smell,cost,7;13,2,14,10.0,2.0
47,pun,47,a,I tried to stick with the rough class but it was just too #course for my liking.,course,coarse,0.41693277,identical,2.13E-05,1.393123852,course;class;rough,rough,13;7;6,6,17,8.66666666667,6.0
48,pun,48,a,Our pet is very #deer to us.,deer,dear,0.668438319,identical,0.125129274,0.736571144,deer;pet,pet,4;1,1,7,2.5,1.0
49,pun,49,a,You don't want to #bee around a hive for too long.,bee,be,1.231537653,identical,0.634978882,1.354632455,bee;hive,,4;7,-1,11,5.5,1.0
50,pun,50,a,You should run really fast but be careful not to #brake anything.,brake,break,-0.013703885,identical,0.016026313,0.76756076,brake;careful;fast,careful;fast;run,10;7;4,7;4;2,12,7.0,4.33333333333
51,pun,51,a,The pastry chef brought his girlfriend #flours on Valentine's Day.,flours,flowers,1.109187676,identical,0.007827198,2.358969956,flours;chef;pastry,brought;day;girlfriend;valentine's,6;2;1,3;9;5;8,10,3.0,6.25
52,pun,52,a,The driver at the toll insisted it wasn't #fare.,fare,fair,0.722045779,identical,0.685723498,1.087047933,fare;driver;toll,toll,8;1;4,4,9,4.33333333333,4.0
53,pun,53,a,He injured his foot and now it just won't #heel.,heel,heal,-0.029274472,identical,0.019716862,1.273038092,heel;foot;injured,injured,9;3;1,1,10,4.33333333333,1.0
54,pun,54,a,I wrote a song about my priest so that I could perform it for #hymn.,hymn,him,0.735351822,identical,0.279216917,1.332146401,hymn;perform;priest;song;wrote,perform;priest,14;11;6;3;1,11;6,15,7.0,8.5
55,pun,55,a,Mother #no's best.,no's,knows,0.393214863,identical,5.15E-06,0.767367196,no's;mother,best;mother,1;0,2;0,3,0.5,1.0
56,pun,56,a,When I stayed at the hotel I made sure I didn't sleep #inn.,inn,in,0.836058615,identical,0.231152268,1.370359594,inn;hotel;sleep;stayed,stayed,12;5;11;2,2,13,7.5,2.0
57,pun,57,a,We spent some time looking for the celebrity before she realized she didn't want to #idol.,idol,idle,0.231656682,identical,0.001317159,1.43577133,idol;celebrity;want,time,15;7;13,3,16,11.6666666667,3.0
58,pun,58,a,She didn't want to clean up but I #maid her.,maid,made,0.720777681,identical,0.470869445,1.022010543,maid;clean,up,8;4,5,10,6.0,5.0
59,pun,59,a,When the new church opened #nun of us cared.,nun,none,1.119047674,identical,0.000294404,1.298199038,nun;cared;church,,5;8;3,-1,9,5.33333333333,5.0
60,pun,60,a,He cried when he woke up. It was #mourning.,mourning,morning,1.223151908,identical,0.004135479,1.730112403,mourning;cried,up;woke,8;1,5;4,9,4.5,4.5
61,pun,61,a,The butcher was very glad we could #meat.,meat,meet,0.564574102,identical,0.47522548,1.281632254,meat;butcher,glad,7;1,4,8,4.0,4.0
62,pun,62,a,The fisherman couldn't believe what he caught; he didn't think it was #reel.,reel,real,0.808595574,identical,0.53860296,1.322922614,reel;caught;fisherman,believe,12;6;1,3,13,6.33333333333,3.0
63,pun,63,a,If I were brave enough to be a fruit farmer I would grow a #pear.,pear,pair,1.683725549,identical,5.98E-05,1.33209175,pear;farmer;fruit;grow,,14;9;8;12,-1,15,10.75,3.0
64,pun,64,a,All the birds in the parish were birds of #pray.,pray,prey,1.872043263,identical,0.628940161,1.454631353,pray;parish,birds;birds,9;5,2;2,10,7.0,2.0
65,pun,65,a,If you want to make it all the way to a tree farm you had better take a different #root.,root,route,1.460681636,identical,0.01075456,1.961733279,root;farm;tree,different;take;way,19;12;11,18;16;8,20,14.0,14.0
106,nonpun,1,a,Daniel is a biblical #prophet known for interpreting dreams.,prophet,profit,-0.616442572,identical,2.81E-07,1.511324866,prophet;biblical;daniel;dreams;interpreting;known,biblical,4;3;0;8;7;5,3,9,4.5,3.0
107,nonpun,2,a,He can recite the number #pi up to ten decimal places.,pi,pie,-0.701418837,identical,1.06E-08,1.62130473,pi;decimal;number,,5;9;4,-1,11,6.0,3.0
108,nonpun,3,a,Bakers #knead flour and milk together to make bread dough.,knead,need,-0.463161833,identical,0.00077876,2.114855341,knead;bakers;bread;dough;flour;make;together,make,1;0;8;9;2;7;5,7,10,4.57142857143,7.0
109,nonpun,4,a,The fisherman dipped the #oar in the river.,oar,or,-0.453091203,identical,0.002585664,1.832172773,oar;dipped;fisherman;river,,4;2;1;7,-1,8,3.5,7.0
110,nonpun,5,a,Boxes are stacked in #tiers in the warehouse.,tiers,tears,-0.559532321,identical,0.000314724,1.254955906,tiers;boxes;stacked,,4;0;2,-1,8,2.0,7.0
111,nonpun,6,a,Pollsters conducted a #poll on the popularity of the political candidates.,poll,pole,-0.478534317,identical,4.77E-08,1.653334106,poll;candidates;conducted;political;pollsters;popularity,candidates;pollsters,3;10;1;9;0;6,10;0,11,4.83333333333,5.0
112,nonpun,7,a,The old man is alone all the time and is #bored to tears.,bored,board,-0.499406276,identical,1.23E-09,1.015209886,bored;alone;man;tears;time,,10;4;2;12;7,-1,13,7.0,5.0
113,nonpun,8,a,#Greece is a country in the the southern portion of Europe.,greece,grease,-0.549920934,identical,2.48E-09,1.626835475,greece;country;europe;southern,,0;3;10;7,-1,11,5.0,5.0
114,nonpun,9,a,In mathematics the #sine function is a function of an angle.,sine,sign,-0.783115617,identical,1.33E-06,0.865833971,sine;angle;function;function;mathematics,function;function;mathematics,3;10;4;4;1,4;4;1,11,4.4,3.0
115,nonpun,10,a,Ms. Wu is the #principal of our local high school.,principal,principle,-0.538246309,identical,5.26E-06,0.768550068,principal;high;local;school,high;school,4;8;7;9,8;9,10,7.0,8.5
116,nonpun,11,a,I bought a new #CD today in classical music.,cd,seedy,-0.448309592,identical,1.16E-13,1.54677883,cd;bought;classical;music;new,,4;1;7;8;3,-1,9,4.6,8.5
117,nonpun,12,a,The #hare ran rapidly through the fields.,hare,hair,-0.400439814,identical,1.44E-05,1.071850617,hare;fields;ran;rapidly,,1;6;2;3,-1,7,3.0,8.5
118,nonpun,13,a,That cabin is made of #knotty pine.,knotty,naughty,-0.186042386,identical,0.003245546,0.761027515,knotty,,5,-1,7,5.0,8.5
119,nonpun,14,a,The clothesline hangs #taut between two poles.,taut,taught,-0.566173862,identical,2.44E-06,0.966177014,taut;clothesline;hangs,,3;1;2,-1,7,2.0,8.5
120,nonpun,15,a,Karl #Marx was a german philosopher.,marx,marks,-0.686663976,identical,1.68E-08,1.495957407,marx;german;karl;philosopher,german,1;4;0;5,4,6,2.5,4.0
121,nonpun,16,a,He waved at me to say #hi.,hi,high,-0.493961971,identical,3.78E-06,1.197911637,hi;say;waved,,6;5;1,-1,7,4.0,4.0
122,nonpun,17,a,She was in a #daze after learning the bad news.,daze,days,-0.548913063,identical,0.000552088,0.878793237,daze,bad;news,4,8;9,10,4.0,8.5
123,nonpun,18,a,Novels and essays are written in #prose.,prose,pros,-0.419635971,identical,1.71E-09,1.616689284,prose;essays;novels;written,,6;2;0;4,-1,7,3.0,8.5
124,nonpun,19,a,Our #plane landed at the airport.,plane,plain,-0.627515394,identical,8.91E-12,1.47121315,plane;airport;landed,,1;5;2,-1,6,2.66666666667,8.5
125,nonpun,20,a,That beaver is building a #dam with logs and sticks.,dam,damn,-0.400439814,identical,4.53E-10,1.384391421,dam;beaver;building;logs;sticks,beaver,5;1;3;7;9,1,10,5.0,1.0
126,nonpun,21,a,This computer has a processing speed of thirty-three mega #hertz.,hertz,hurts,-0.4801975,identical,5.23E-08,1.442254301,hertz;computer;mega;processing;speed,,9;1;8;4;5,-1,10,5.4,1.0
127,nonpun,22,a,She plays the leading #role in a television show.,role,roll,-0.568697608,identical,5.16E-12,1.130943859,role;leading;plays;show;television,plays,4;3;1;8;7,1,9,4.6,1.0
128,nonpun,23,a,He puts a #collar on his dog before walking it.,collar,caller,-0.624425163,identical,3.15E-07,1.365278929,collar;dog;walking,,3;6;8,-1,10,5.66666666667,1.0
129,nonpun,24,a,The little boy wanted to #steal his friend's candy but decided not to.,steal,steel,-0.05194632,identical,1.13E-05,0.945803204,steal;wanted,,5;3,-1,13,4.0,1.0
130,nonpun,25,a,Some people do not like to #dye their hair.,dye,die,-0.597783895,identical,0.003963874,1.543359815,dye;hair,people,6;8,1,9,7.0,1.0
131,nonpun,26,a,She must have a small #waist; look how tiny her belt is!,waist,waste,-0.284472946,identical,9.95E-10,1.438615809,waist;belt;small;tiny,,5;10;4;8,-1,12,6.75,1.0
132,nonpun,27,a,These new shoes are hurting my #feet.,feet,feat,-0.627515394,identical,6.02E-11,1.316769804,feet;hurting;shoes,,6;4;2,-1,7,4.0,1.0
133,nonpun,28,a,The student read her poem #aloud in class.,aloud,allowed,-0.535863964,identical,1.29E-11,1.026124397,aloud;poem;read,,5;4;2,-1,8,3.66666666667,1.0
134,nonpun,29,a,A worker filled a #pail with water to clean the floor.,pail,pale,-0.52197268,identical,4.69E-06,1.187067783,pail;clean;filled;water,clean,4;8;2;6,8,11,5.0,8.0
135,nonpun,30,a,Those wealthy people live in a huge #manor.,manor,manner,-0.239700056,identical,1.17E-06,1.218126271,manor;huge;live;people;wealthy,people,7;6;3;2;1,2,8,3.8,2.0
136,nonpun,31,a,#Cached copies of the web pages are stored in the database.,cached,cashed,-0.624425163,identical,3.65E-08,1.167741472,cached;database;pages;stored;web,,0;10;5;7;4,-1,11,5.2,2.0
137,nonpun,32,a,The king's #reign ended and his heir took over.,reign,rain,-0.549920934,identical,4.85E-11,1.686379352,reign;ended;heir;king's,,2;3;6;1,-1,9,3.0,2.0
138,nonpun,33,a,One of my favorite meals is chicken in a creamy sauce flavored with #thyme.,thyme,time,-0.619153218,identical,0.011927642,1.482173385,thyme;chicken;flavored;meals;sauce,meals,13;6;11;4;10,4,14,8.8,4.0
139,nonpun,34,a,A #pore is a very small opening on the surface of your skin.,pore,poor,-0.439063741,identical,0.002220325,1.766460739,pore;opening;skin;small;surface,small;very,1;6;12;5;9,5;4,13,6.6,4.5
140,nonpun,35,a,She covered the frame with #gilt.,gilt,guilt,0.02380242,identical,0.000286981,0.693626266,gilt;frame,frame,5;3,3,6,4.0,3.0
141,nonpun,36,a,Prince William is #heir to the british throne.,heir,err,-0.406641634,identical,1.94E-09,2.048323464,heir;british;prince;throne;william,,3;6;0;7;1,-1,8,3.4,3.0
142,nonpun,37,a,They have a #son and a daughter.,son,sun,-0.601307501,identical,4.13E-07,1.241789468,son;daughter,,3;6,-1,7,4.5,3.0
143,nonpun,38,a,It is hard even for a soprano to sing the high #C's.,c's,seas,-0.277035692,identical,0.331988908,1.165404549,c's,high,11,10,12,11.0,10.0
144,nonpun,39,a,My desk lamp uses a sixty #watt light bulb.,watt,what,-0.489417904,identical,2.86E-09,2.610391874,watt;bulb;lamp;light;sixty,,6;8;2;7;5,-1,9,5.6,10.0
145,nonpun,40,a,He used a #razor to shave his beard.,razor,raiser,-0.549920934,identical,1.13E-10,1.854425688,razor;beard;shave;used,,3;7;5;1,-1,8,4.0,10.0
146,nonpun,41,a,It's easy to tie a double #knot.,knot,not,-0.470142255,identical,1.71E-05,1.632053177,knot;double;tie,,6;5;3,-1,7,4.66666666667,10.0
147,nonpun,42,a,We get our #wood from trees.,wood,would,-0.326085081,identical,0.000117727,1.332314912,wood;trees,,3;5,-1,6,4.0,10.0
148,nonpun,43,a,A #grader was hired to score all of the tests.,grader,grater,-0.616442572,identical,7.15E-08,1.583570732,grader;score;tests,,1;5;9,-1,10,5.0,10.0
149,nonpun,44,a,I was poked in the #eye.,eye,i,-0.345549609,identical,2.25E-05,1.095004646,eye;poked,,5;2,-1,6,3.5,10.0
150,nonpun,45,a,We learned about how a #cell works in biology.,cell,sell,-0.537912493,identical,7.68E-06,1.337321186,cell;biology,works,5;8,6,9,6.5,6.0
151,nonpun,46,a,That #scent is unpleasant.,scent,cent,-0.416754042,identical,3.13E-08,0.889639658,scent;unpleasant,,1;3,-1,4,2.0,6.0
152,nonpun,47,a,I took a #course in school.,course,coarse,-0.4801975,identical,1.10E-09,1.151244496,course;school;took,,3;5;1,-1,6,3.0,6.0
153,nonpun,48,a,There are #deer in the forest.,deer,dear,-0.680097469,identical,0.004524276,1.121085946,deer;forest,,2;5,-1,6,3.5,6.0
154,nonpun,49,a,He tried to steal honey but was stung by an angry #bee.,bee,be,0.227042762,identical,1.74E-08,1.762801234,bee;angry;honey;stung,angry,11;10;4;7,10,12,8.0,10.0
155,nonpun,50,a,Cars should #brake slowly.,brake,break,-0.549920934,identical,0.028660944,1.093681473,brake;cars;slowly,cars,2;0;3,0,4,1.66666666667,0.0
156,nonpun,51,a,We use different kinds of #flours in baking.,flours,flowers,-0.751501589,identical,0.107220585,1.08135506,flours;baking,kinds,5;7,3,8,6.0,3.0
157,nonpun,52,a,The #fare had to be paid.,fare,fair,-0.656157197,identical,0.000107373,0.843886511,fare;paid,,1;5,-1,6,3.0,3.0
158,nonpun,53,a,His #heel was bruised from walking too much.,heel,heal,-0.627515394,identical,7.93E-07,0.996934944,heel;bruised;walking,bruised;walking,1;3;5,3;5,8,3.0,4.0
159,nonpun,54,a,We sang a #hymn in church.,hymn,him,-0.566763693,identical,8.83E-07,1.278804147,hymn;church;sang,church,3;5;1,5,6,3.0,5.0
160,nonpun,55,a,I answered with a string of #no's.,no's,knows,-0.366838698,identical,0.000331957,0.772814776,no's;answered,answered,6;1,1,7,3.5,1.0
161,nonpun,56,a,We stayed at an #inn.,inn,in,-0.724466457,identical,0.002207682,0.712139438,inn;stayed,stayed,4;1,1,5,2.5,1.0
162,nonpun,57,a,That famous movie star is my #idol.,idol,idle,-0.558676472,identical,1.72E-07,1.623146004,idol;famous;movie;star,,6;1;2;3,-1,7,3.0,1.0
163,nonpun,58,a,I hired a #maid to clean.,maid,made,-0.425598017,identical,0.003686083,1.120954536,maid;clean;hired,,3;5;1,-1,6,3.0,1.0
164,nonpun,59,a,The #nun was very pious and kind.,nun,none,-0.613731926,identical,2.50E-05,1.144662077,nun;kind;pious,,1;6;4,-1,7,3.66666666667,1.0
165,nonpun,60,a,We were in #mourning after our loved one died.,mourning,morning,-0.565341044,identical,6.86E-08,1.333786676,mourning;died;loved,,3;8;6,-1,9,5.66666666667,1.0
166,nonpun,61,a,Vegetarians don't like #meat.,meat,meet,-0.459630503,identical,1.70E-06,0.906784046,meat;vegetarians,like,3;0,2,4,1.5,2.0
167,nonpun,62,a,You need to #reel in the fish.,reel,real,-0.356100683,identical,0.023583256,1.124878086,reel;fish,,3;6,-1,7,4.5,2.0
168,nonpun,63,a,She ate a #pear and two apples.,pear,pair,-0.52197268,identical,0.000105404,1.230590972,pear;apples;ate,,3;6;1,-1,7,3.33333333333,2.0
169,nonpun,64,a,It is customary for Christians to #pray before bed.,pray,prey,-0.680097469,identical,1.06E-07,1.265997338,pray;bed;christians,,6;8;4,-1,9,6.0,2.0
170,nonpun,65,a,He tripped over a tree's #root.,root,route,0.248859652,identical,2.35E-10,1.104227241,root;tree's,,5;4,-1,6,4.5,2.0
171,nonpun,1,b,That business made one million dollars in #profit last year.,profit,prophet,-0.63337994,identical,3.25E-10,2.236061122,profit;business;dollars;made;million;year,,7;1;5;2;4;9,-1,10,4.66666666667,2.0
172,nonpun,2,b,Would you like some apple #pie for dessert?,pie,pi,-0.627515394,identical,5.34E-12,1.718465304,pie;apple;dessert,,5;4;7,-1,8,5.33333333333,2.0
173,nonpun,3,b,The company has a #need for computer programmers.,need,knead,-0.598788105,identical,5.04E-11,0.798142597,need;company,,4;1,-1,8,2.5,2.0
174,nonpun,4,b,Take care of your car #or else you will have problems.,or,oar,-0.559532321,identical,2.36E-14,0.694492275,or,,5,-1,11,5.0,2.0
175,nonpun,5,b,#Tears ran down her cheeks as she watched a sad movie.,tears,tiers,-0.568697608,identical,2.74E-16,1.795120187,tears;cheeks;movie;sad,,0;4;10;9,-1,11,5.75,2.0
176,nonpun,6,b,She raised a flag up the #pole. ,pole,poll,-0.321161094,identical,2.39E-06,0.854566766,pole;flag;up,flag,6;3;4,3,7,4.33333333333,3.0
177,nonpun,7,b,He has a meeting with the company's #board of directors.,board,bored,-0.549920934,identical,1.37E-15,1.366226054,board;company's;directors;meeting,meeting,7;6;9;3,3,10,6.25,3.0
178,nonpun,8,b,There was too much #grease on the plate.,grease,greece,-0.488917613,identical,0.01310923,0.827909563,grease;plate,,4;7,-1,8,5.5,3.0
179,nonpun,9,b,The #sign on our store says the clothes boutique.,sign,sine,-0.515691038,identical,7.32E-11,1.50363927,sign;boutique;says;store,,1;8;5;4,-1,9,4.5,3.0
180,nonpun,10,b,I believe in the #principle of physics.,principle,principal,-0.537912493,identical,1.57E-05,0.729098573,principle;believe;physics,believe;physics,4;1;6,1;6,7,3.66666666667,3.5
181,nonpun,11,b,The #seedy bar was full of drunken and unwashed people.,seedy,cd,0.275131224,identical,6.75E-06,1.151513373,seedy;bar;drunken;unwashed,,1;2;6;8,-1,10,4.25,3.5
182,nonpun,12,b,Most people have lots of #hair on their heads.,hair,hare,-0.342560376,identical,9.47E-11,1.550998865,hair;heads;lots;people,,5;8;3;1,-1,9,4.25,3.5
183,nonpun,13,b,That boy is a #naughty child.,naughty,knotty,-0.476507921,identical,1.60E-13,0.892599176,naughty;boy;child,,4;1;5,-1,6,3.33333333333,3.5
184,nonpun,14,b,She #taught mathematics to college students.,taught,taut,-0.181733713,identical,9.33E-16,1.750135277,taught;college;mathematics;students,,1;4;2;5,-1,6,3.0,3.5
185,nonpun,15,b,She got high #marks in high school.,marks,marx,-0.382044045,identical,3.09E-12,1.298236003,marks;high;high;school,,3;2;2;6,-1,7,3.25,3.5
